CustomerID,TotalTransactions,TotalItems,UniqueItems,TotalQuantity,AverageQuantity,TotalSpend,AverageSpend,FirstPurchase,LastPurchase,Country,CustomerActivityDays
12346.0,1,1,1,74215.0,74215.0,0.0,18.0,2011-01-18 10:01:00,2011-01-18 10:01:00,UNITED KINGDOM,0
12347.0,7,182,103,2458.0,13.505494505494505,0.0,18.0,2010-12-07 14:57:00,2011-12-07 15:52:00,ICELAND,365
12349.0,1,73,73,631.0,8.643835616438356,300.0,300.0,2011-11-21 09:51:00,2011-11-21 09:51:00,ITALY,0
12350.0,1,17,17,197.0,11.588235294117647,40.0,40.0,2011-02-02 16:01:00,2011-02-02 16:01:00,NORWAY,0
12352.0,8,85,59,536.0,6.305882352941176,200.0,40.0,2011-02-16 12:33:00,2011-11-03 14:37:00,NORWAY,260
12353.0,1,4,4,20.0,5.0,0.0,18.0,2011-05-19 17:47:00,2011-05-19 17:47:00,BAHRAIN,0
12354.0,1,58,58,530.0,9.137931034482758,0.0,18.0,2011-04-21 13:11:00,2011-04-21 13:11:00,SPAIN,0
12355.0,1,13,13,240.0,18.46153846153846,0.0,18.0,2011-05-09 13:49:00,2011-05-09 13:49:00,BAHRAIN,0
12356.0,3,59,53,1591.0,26.966101694915253,18.0,18.0,2011-01-18 09:50:00,2011-11-17 08:40:00,PORTUGAL,302
12357.0,1,131,131,2708.0,20.671755725190838,25.0,25.0,2011-11-06 16:07:00,2011-11-06 16:07:00,SWITZERLAND,0
12358.0,2,19,13,248.0,13.052631578947368,80.0,40.0,2011-07-12 10:04:00,2011-12-08 10:26:00,AUSTRIA,149
12360.0,3,129,105,1165.0,9.031007751937985,120.0,40.0,2011-05-23 09:43:00,2011-10-18 15:22:00,AUSTRIA,148
12361.0,1,10,10,91.0,9.1,15.0,15.0,2011-02-25 13:51:00,2011-02-25 13:51:00,BELGIUM,0
12362.0,10,266,201,2229.0,8.3796992481203,153.0,15.3,2011-02-17 10:30:00,2011-12-06 15:40:00,BELGIUM,292
12363.0,2,23,23,408.0,17.73913043478261,0.0,18.0,2011-04-11 13:29:00,2011-08-22 10:18:00,UNSPECIFIED,132
12364.0,4,85,70,1506.0,17.71764705882353,60.0,15.0,2011-08-19 15:24:00,2011-12-02 10:22:00,BELGIUM,104
12370.0,1,8,8,51.0,6.375,40.0,40.0,2010-12-17 09:38:00,2010-12-17 09:38:00,AUSTRIA,0
12371.0,2,63,63,591.0,9.380952380952381,40.0,40.0,2011-10-11 10:43:00,2011-10-26 10:16:00,SWITZERLAND,14
12373.0,1,14,14,197.0,14.071428571428571,40.0,40.0,2011-02-01 13:10:00,2011-02-01 13:10:00,AUSTRIA,0
12374.0,1,33,33,342.0,10.363636363636363,40.0,40.0,2011-11-14 15:37:00,2011-11-14 15:37:00,AUSTRIA,0
12377.0,2,77,72,944.0,12.25974025974026,40.0,40.0,2010-12-20 09:37:00,2011-01-28 15:45:00,SWITZERLAND,39
12378.0,1,219,219,2529.0,11.547945205479452,0.0,18.0,2011-08-02 10:34:00,2011-08-02 10:34:00,SWITZERLAND,0
12379.0,2,40,39,407.0,10.175,30.0,15.0,2011-06-22 16:32:00,2011-09-19 10:09:00,BELGIUM,88
12380.0,4,104,77,1127.0,10.836538461538462,69.0,17.25,2011-06-07 09:49:00,2011-11-18 11:27:00,BELGIUM,164
12381.0,5,87,70,808.0,9.28735632183908,126.0,31.5,2011-08-12 09:57:00,2011-12-05 12:44:00,NORWAY,115
12383.0,5,99,84,1532.0,15.474747474747474,78.0,15.6,2010-12-22 14:28:00,2011-06-08 08:02:00,BELGIUM,167
12384.0,2,27,26,126.0,4.666666666666667,80.0,40.0,2011-08-10 11:23:00,2011-11-11 08:39:00,SWITZERLAND,92
12386.0,2,10,10,354.0,35.4,0.0,18.0,2010-12-08 09:53:00,2011-01-06 12:37:00,AUSTRALIA,29
12388.0,6,100,58,1462.0,14.62,0.0,18.0,2011-01-17 11:12:00,2011-11-24 12:30:00,AUSTRALIA,311
12390.0,1,32,32,353.0,11.03125,15.0,15.0,2011-09-21 09:33:00,2011-09-21 09:33:00,BELGIUM,0
12393.0,4,64,49,816.0,12.75,0.0,18.0,2011-01-11 09:47:00,2011-09-28 15:41:00,AUSTRALIA,260
12394.0,1,21,21,182.0,8.666666666666666,15.0,15.0,2011-05-06 14:01:00,2011-05-06 14:01:00,BELGIUM,0
12395.0,12,156,91,2118.0,13.576923076923077,189.0,15.75,2010-12-03 16:35:00,2011-11-20 15:21:00,BELGIUM,351
12397.0,2,126,110,1263.0,10.023809523809524,30.0,15.0,2011-07-27 14:21:00,2011-11-04 09:52:00,BELGIUM,99
12398.0,1,85,85,1394.0,16.4,40.0,40.0,2011-10-25 10:27:00,2011-10-25 10:27:00,SWITZERLAND,0
12399.0,4,59,47,1178.0,19.966101694915253,60.0,15.0,2011-03-23 09:42:00,2011-08-12 13:15:00,BELGIUM,142
12401.0,1,5,5,11.0,2.2,15.0,15.0,2011-02-09 13:50:00,2011-02-09 13:50:00,BELGIUM,0
12402.0,1,11,11,94.0,8.545454545454545,15.0,15.0,2011-01-20 13:49:00,2011-01-20 13:49:00,BELGIUM,0
12407.0,5,77,57,1416.0,18.38961038961039,78.0,15.6,2011-03-20 13:21:00,2011-10-21 10:11:00,BELGIUM,214
12408.0,5,105,81,1409.0,13.41904761904762,60.0,15.0,2011-03-24 14:46:00,2011-11-07 12:27:00,BELGIUM,227
12409.0,3,109,91,5551.0,50.92660550458716,0.0,18.0,2011-06-10 12:19:00,2011-09-22 10:38:00,SWITZERLAND,103
12410.0,2,26,26,211.0,8.115384615384615,40.0,40.0,2011-02-04 10:38:00,2011-02-04 10:39:00,SWITZERLAND,0
12413.0,3,38,29,286.0,7.526315789473684,36.0,18.0,2011-01-06 16:12:00,2011-10-04 09:00:00,FRANCE,270
12414.0,3,18,16,300.0,16.666666666666668,120.0,40.0,2011-02-02 14:51:00,2011-05-06 14:51:00,AUSTRIA,93
12415.0,21,716,451,77670.0,108.47765363128492,350.0,116.66666666666667,2011-01-06 11:12:00,2011-11-15 14:22:00,AUSTRALIA,313
12417.0,9,192,159,1552.0,8.083333333333334,151.0,16.77777777777778,2010-12-17 11:51:00,2011-12-06 14:52:00,BELGIUM,354
12418.0,1,34,34,407.0,11.970588235294118,0.0,18.0,2011-08-19 11:08:00,2011-08-19 11:08:00,SWITZERLAND,0
12421.0,4,45,32,484.0,10.755555555555556,112.0,28.0,2011-01-24 15:09:00,2011-11-24 09:07:00,SPAIN,303
12422.0,3,39,39,370.0,9.487179487179487,40.0,40.0,2011-01-19 09:13:00,2011-09-05 09:48:00,AUSTRALIA,229
12423.0,8,125,96,1339.0,10.712,120.0,15.0,2010-12-21 10:54:00,2011-12-09 10:10:00,BELGIUM,352
12424.0,2,30,30,740.0,24.666666666666668,0.0,18.0,2011-06-30 12:06:00,2011-06-30 12:06:00,AUSTRALIA,0
12425.0,1,36,36,496.0,13.777777777777779,0.0,18.0,2011-09-22 17:31:00,2011-09-22 17:31:00,PORTUGAL,0
12426.0,1,30,30,258.0,8.6,18.0,18.0,2011-05-29 12:26:00,2011-05-29 12:26:00,GERMANY,0
12427.0,3,31,26,533.0,17.193548387096776,54.0,18.0,2010-12-03 10:44:00,2011-11-18 08:56:00,GERMANY,349
12429.0,1,21,21,198.0,9.428571428571429,28.0,28.0,2011-04-26 11:44:00,2011-04-26 11:44:00,AUSTRIA,0
12430.0,1,11,11,117.0,10.636363636363637,40.0,40.0,2011-10-27 15:09:00,2011-10-27 15:09:00,NORWAY,0
12431.0,15,235,163,2908.0,12.374468085106383,30.0,10.0,2010-12-01 10:03:00,2011-11-04 11:55:00,AUSTRALIA,338
12432.0,5,108,107,1801.0,16.675925925925927,765.0,382.5,2011-06-20 13:27:00,2011-10-28 11:43:00,NORWAY,129
12433.0,7,420,222,11071.0,26.35952380952381,0.0,18.0,2010-12-01 13:24:00,2011-12-09 10:02:00,NORWAY,372
12434.0,2,50,46,394.0,7.88,0.0,18.0,2011-03-24 13:05:00,2011-09-16 12:38:00,AUSTRALIA,175
12436.0,1,16,16,211.0,13.1875,40.0,40.0,2011-09-01 12:09:00,2011-09-01 12:09:00,NORWAY,0
12437.0,18,200,120,2923.0,14.615,270.0,16.875,2011-01-12 14:13:00,2011-12-08 11:35:00,FRANCE,329
12438.0,2,98,85,1180.0,12.040816326530612,80.0,40.0,2011-07-22 13:29:00,2011-11-25 13:28:00,NORWAY,125
12441.0,1,11,11,121.0,11.0,18.0,18.0,2010-12-08 10:45:00,2010-12-08 10:45:00,FRANCE,0
12442.0,1,12,12,182.0,15.166666666666666,28.0,28.0,2011-12-06 14:22:00,2011-12-06 14:22:00,SPAIN,0
12444.0,5,177,138,1155.0,6.52542372881356,160.0,32.0,2011-06-21 14:00:00,2011-11-18 13:23:00,NORWAY,149
12445.0,1,4,4,62.0,15.5,28.0,28.0,2011-11-17 18:43:00,2011-11-17 18:43:00,SPAIN,0
12446.0,1,58,58,352.0,6.068965517241379,0.0,0.0,2011-10-13 12:50:00,2011-10-13 12:50:00,RSA,0
12447.0,1,26,26,190.0,7.3076923076923075,15.0,15.0,2011-04-10 13:25:00,2011-04-10 13:25:00,BELGIUM,0
12448.0,1,22,22,243.0,11.045454545454545,93.0,46.5,2011-10-26 13:46:00,2011-10-26 13:46:00,SPAIN,0
12449.0,4,191,119,1553.0,8.13089005235602,63.0,15.75,2011-06-05 15:37:00,2011-11-17 13:46:00,BELGIUM,164
12450.0,2,8,7,128.0,16.0,0.0,18.0,2011-06-19 14:36:00,2011-07-06 14:41:00,SPAIN,17
12451.0,5,354,265,6575.0,18.573446327683616,40.0,40.0,2011-01-19 09:05:00,2011-11-29 08:40:00,SWITZERLAND,313
12452.0,2,22,21,185.0,8.409090909090908,41.0,20.5,2011-11-23 08:05:00,2011-11-23 10:28:00,SWITZERLAND,0
12453.0,1,43,43,473.0,11.0,0.0,18.0,2011-07-28 14:08:00,2011-07-28 14:08:00,AUSTRIA,0
12454.0,1,15,15,1006.0,67.06666666666666,0.0,18.0,2011-10-14 17:13:00,2011-10-14 17:13:00,SPAIN,0
12455.0,4,48,44,566.0,11.791666666666666,112.0,28.0,2011-06-03 11:33:00,2011-09-27 15:31:00,SPAIN,116
12456.0,3,125,105,1633.0,13.064,120.0,40.0,2011-03-30 09:12:00,2011-10-26 14:41:00,SWITZERLAND,210
12457.0,5,61,52,778.0,12.754098360655737,120.0,30.0,2011-04-14 18:57:00,2011-09-15 14:25:00,SWITZERLAND,153
12458.0,2,38,35,506.0,13.31578947368421,80.0,40.0,2011-02-28 10:55:00,2011-09-29 15:25:00,SWITZERLAND,213
12461.0,2,35,35,287.0,8.2,40.0,40.0,2011-07-08 10:23:00,2011-09-06 16:57:00,SWITZERLAND,60
12462.0,2,62,52,536.0,8.64516129032258,56.0,28.0,2011-02-09 14:44:00,2011-11-21 09:11:00,SPAIN,284
12463.0,4,83,65,776.0,9.349397590361447,72.0,18.0,2011-04-12 12:47:00,2011-10-17 13:44:00,BELGIUM,188
12464.0,8,29,6,112.0,3.8620689655172415,105.0,15.0,2011-02-03 13:30:00,2011-11-29 13:33:00,BELGIUM,299
12465.0,2,47,46,479.0,10.191489361702128,30.0,15.0,2011-06-23 13:37:00,2011-11-22 16:34:00,BELGIUM,152
